sequence,16S_rRNA_Count
0995956fa8b212b785bad7466abddc9f,1
099686997c582915f735f38d7212fc1e,1
0997545d26a9d07c7d5c2ed82318edda,1
099d9e2cee303d91d789b6ff52304d66,1
099e2d67a4582c94894702a0413d344c,3
09a38a3159d6034db07c34fb28e13d8e,1
09ae1068e1a557446b39f033027f3dad,1
09b077cc669ed6b08ac6c97109d9034b,3
09b3cd21f808889f674ffaa527b124d9,1
09b478148ca89cb8261ff806c1092226,1
09b9a04bdadbbb2e3bcb69f301266967,1
09bedf1ee9478654b581fea611f919e7,1
09bf4a67f0a1adaaa9c4f10c07f5c098,2
09c122c62b6bc9ba90d63f09376aa018,1
09ce3546830e43d32f29a4311617c559,3
09d2babe120d5c6c6bce2f94b8efbd4f,9
09d70dcf79acb300486413df3d761ac0,2
09d8d3259a787b22ec536e8bd183512e,1
09db7795ec75e9cd2f20968092934215,1
09e63693f38679f02c0fa9f68672da2c,1
09f13c20194f8eb4215ab0299f578522,1
09fc1e5450dee212af28930a1c982bc0,1
09fd9122762f451f46c37f01802c567f,3
0a0432aa3f8ac6a2e612f952e23bb737,2
0a05c8130ef71c04f3b1e83aa337b10b,2
0a0aaaa295ecc66bedd0536ebafa2344,1
0a1544d12cd258bf9379b863a05d36b4,1
0a1af37f986e8d1356767662d968c35b,3
0a20b2af6e1d038287f3b3ac4d3a42d6,1
0a22dd7370729a857ea1c3ee5d38bda9,1
0a25c7a01787967d394ab240d8d4e675,2
0a3123a532207f72fc4889daea4e9c30,2
0a3c5da88600bfd94aad908cd1650102,1
0a44102f650fc9423c026fd42f38f59c,3
0a59fb43e2fd91600d0f2f7622971f9c,1
0a6087b2f901968daac5e17d5aec2cb8,1
0a6effaae209f35f6d50c110283854fb,1
0a704e8b49959a6979409896c61368f5,1
0a70f3eeaa13fc48767cf5edeaa4e8fb,1
0a7354faca0536369ac52285db995136,2
0a7f357da07154ede7aa04685f233c3e,3
0a80ea935c0abdcc6b75d0a2e98571d8,1
0a889fcd0efea9eb3df48182a71ef8b2,1
0a90f5f3591b3f38b3dbcd768e488ad3,1
0a972639dbfd899b679f97cabfcb9ba6,1
0a9a6d5e43997618bba6f86a05f555d3,5
0a9df145d5fb7fa19934ce27356c1bc0,1
0aa064e0fe2c8b8653511b456878789c,1
0aaaecd599e6cb8835a1f4f9f4ee2970,1
0ab6b36c72d6ebc5179087622f17cfbb,1
0ab948a5a4f5bf42a0e841468f3a267f,1
0abc81218d24af753492bb5b9b9c3d1e,1
0ac5386fbfbfebc102530c2687520234,1
0acd2386b5f109ffb9b5c65b05335a20,3
0acfc8aa39adf718d8317042a741de7e,3
0ae0f7e07bf19e77b8fbe09a2b0d3695,2
0ae25f300cefdf0a1931a4b059720534,1
0aeb616a9a8f57172315d0e3973e738f,1
0aedc203f53997cf59c53a0822eeda29,1
0af0edcc98572d142fe37b6e1bf99d1c,1
0af49d682d6fb0ef158a851c9aa9e7c3,1
0af7fcc6fb9a874f0ed0079ffc943d74,3
0afa7418c799f1ff653fe7326b53f072,3
0afde7b62543a339be6e2a2db4061d03,1
0b06026f81d09f08a691dd43bb045c61,1
0b075275a6d961ba8cbec896693b246b,1
0b0e6a6751245b36ab5154578de85938,1
0b13125bb43d8c1845ea33d18d7a6907,1
0b148af26998d58a688c16642e53c1e2,1
0b1b0b4f091f7b3ca9cc8e92f32df737,3
0b1d71fe7a62f1a7507d76dd03c6eb70,1
0b1e4cd4c8fb5d8e5bd4ad915ae8ed6d,1
0b2e591516cfd39ef86f48868ae4e62e,1
0b471c48f296b1e1f8a87d294a2d4fa1,3
0b484b03fa494f61d945e173404b8ba6,1
0b515777513177e1f4671921819dcaa3,2
0b593c7c0bc50748ef1559253bc3bcc2,4
0b5b228ddbc6c6afc5e4fe42a5980ddf,1
0b5c2b99472370f92ef9df16887c3962,1
0b5d090f3a62f4f4f98141e231a796aa,1
0b5e770899a426b6193a12e7c3f04888,1
0b61e7b435ec761ba0e7429a4711985c,1
0b67d32a27cb8566f5b1b20f6da59b39,1
0b7479bb9c2745cdfa241e7f3cfe28fc,1
0b794b9f819002fe0c5921a9ab20eaf5,1
0b7bb5f52de224299519945a10f81d27,1
0b7c9b1c16e47199cfd666600ee79129,1
0b7feb46a8a8afbeee16921b783d32e6,1
0b8bd45bdbfee6e24beb42d63f2e7a59,1
0b8e2793b3eece6d95c4b789e4c20c78,2
0b9740797439789d66fd48c68b9c69e3,1
0b9949419f475af78c6f40cece80e67f,1
0b9b0d4d5eaf002c7fd949a016e804e4,3
0b9dae1fc851574e97794509ae0a8296,1
0ba16aedbc3bf99d3c518482683317ce,1
0ba1ba353bdaae9931f8b7ec4f2884b7,3
0ba312ee2211e4d67975b9cbc37d7c3d,1
0ba89ca6a4e72d8cfdd8380e0d96d78f,2
0bb3ca87ea38727d142835616e4f4f48,1
0bb522d136e6b1d447782b8e6cacd198,2
0bc00d5484aa224deca2ae9512120880,1
0bc8c8e6f60ec30665756dcb55192542,2
0bc9ff68dce3881a3f99ee3899b1b8c3,1
0bd330d2fa71e645a12203f63bad3ac7,2
0bd9ff69a9099d33147e8d3f813a9da4,1
0bda2000ae86f9058b6daa8c6fb78699,3
0be1c4e7cff18ff24ef1a21d1f6edaff,1
0be5b5f16c1808a5cda8dcb734563aff,1
0be7cc825b0b64cb17f149953684af4a,1
0be84be9b78fbff912d47689c33deb2f,1
0bedbc557ab4e86e263b0e3f36390b00,1
0bf0e82b4071826f6c86de563751440d,1
0bf69ee435b56cc1ba420ad261d01843,3
0bfb11000dd3c659682662f65ad436d3,3
0c037163145a987e11eb1ccca7a16b64,1
0c05b487cac769b6f87086a741888b3b,3
0c18263cf254ff289bd66ea3672833c3,1
0c233930ad6ffe9b3262ec70f35a9c3a,1
0c2359aaf682275c320770132f25b628,1
0c27d076d1a52630bce6dedea38388a7,3
0c28f8a78f4c561e2727b362400972d0,1
0c2b97ecd23a622ad3156b915d2229f3,1
0c2daebcad7e3ac0aaf2c184841d24e2,3
0c398278224bfc4aeaae95f7f4846a0b,2
0c40072c6eaeb8297cfe224e39d08677,1
0c4264dee3408f16485be5d80d665f5e,2
0c439b63e7063f1a6f35ee410cd1bc64,1
0c45b3ecdb67253c94efee51201d5839,1
0c482d61b082072c56e8f6b82f82403a,1
0c4955cd8ae06ec238eabf4dc9baf9ae,1
0c49bcfa017de9433c42cd4bbba6903f,1
0c56ebe9b46cce94b7d4e99d0f670415,1
0c581c56b6b105027ef7f2d69773446a,1
0c5e82d2ff63747dd2aa98a2897a8989,3
0c5ef7f029f20fd9329900320fe311ca,1
0c60123040f00ea9326258588e50042f,1
0c6a363a37bc5bb3b0f9bc96e9a06316,1
0c6d3f0c212818be50a01d315438b27a,1
0c847edef68842d0d6baea31a6ca3601,1
0c910f533e823661cd3c5b306a35e229,2
0c91b1f2bd3d2226e2d80621b4fb11c5,1
0c91d7c56145e5bbbb91f5a4f1d2b398,3
0c9ad74a1a90f583e98d932309767f18,1
0ca105a915092eb3f4d4b6e3facbec3c,1
0ca2f650da27645611a18d80e954c562,1
